area_sqft,bedrooms,age_years,price_k
850,2,20,115
900,2,18,123
950,2,15,130
1000,3,12,142
1050,3,10,150
1100,3,8,158
1150,3,7,165
1200,3,6,172
1250,3,5,180
1300,4,5,192
1350,4,4,200
1400,4,3,208
1450,4,3,216
1500,4,2,225
1550,4,2,233
1600,4,1,242
1650,5,1,255
1700,5,1,268
1750,5,2,276
1800,5,2,285
1850,5,3,292
1900,5,4,300
1950,5,5,307
2000,5,6,315
2050,5,7,322
2100,6,7,335
2150,6,8,343
2200,6,9,350
2250,6,10,357
2300,6,11,363
2350,6,12,370
2400,6,13,376
2450,6,14,382
2500,7,15,390
2550,7,15,397
2600,7,16,403
2650,7,17,409
2700,7,18,415
2750,7,19,421
2800,7,20,428
2850,8,20,435
2900,8,21,442
2950,8,22,448
3000,8,23,455
3050,8,24,462
3100,8,25,468
3150,8,26,474
3200,8,27,480
3250,9,28,486
3300,9,29,492
3350,9,30,498
3400,9,30,503
3450,9,31,508
3500,9,32,514
3550,9,33,520
3600,10,34,526
3650,10,35,532
3700,10,36,538
3750,10,37,544
3800,10,38,549
3850,10,39,555
3900,10,40,560
3950,10,41,565
4000,11,42,570
4050,11,43,575
4100,11,44,580
4150,11,45,586
4200,11,46,592
4250,11,47,598
4300,11,48,603
4350,12,49,608
4400,12,50,614
4450,12,51,620
4500,12,52,626
4550,12,53,632
4600,12,54,638
4650,12,55,643
4700,12,56,648
4750,13,57,654
4800,13,58,660
4850,13,59,666
4900,13,60,672
4950,13,61,678
5000,13,62,684
