income_k,credit_score,debt_ratio,approved
25,520,58,0
28,540,55,0
30,550,52,0
32,560,50,0
35,580,48,0
38,590,46,0
40,600,45,0
42,610,44,0
45,620,42,0
48,630,40,0
50,640,39,0
52,650,38,0
55,660,37,0
58,670,36,0
60,680,35,1
62,690,34,1
65,700,33,1
68,710,32,1
70,720,31,1
72,730,30,1
75,740,29,1
78,750,28,1
80,760,27,1
82,770,26,1
85,780,25,1
88,790,24,1
90,800,23,1
92,810,22,1
95,820,21,1
98,830,20,1
35,650,55,0
40,700,60,0
45,720,58,0
50,740,55,0
55,760,52,0
60,780,50,1
65,600,28,0
70,620,26,0
75,640,24,0
80,660,22,1
85,680,20,1
90,700,18,1
95,720,16,1
100,740,14,1
105,760,12,1
110,780,10,1
42,580,30,0
48,610,28,0
54,640,26,0
60,670,24,1
66,700,22,1
72,730,20,1
78,760,18,1
84,790,16,1
90,820,14,1
96,850,12,1
