links_count,spam_words,email_length,spam
0,0,310,0
0,1,295,0
0,2,280,0
1,0,300,0
1,1,285,0
1,2,270,0
2,0,290,0
2,1,275,0
2,2,260,0
0,3,250,0
1,3,245,0
2,3,240,0
3,0,280,0
3,1,270,0
3,2,260,0
0,1,220,0
1,1,215,0
2,1,210,0
0,2,225,0
1,2,220,0
2,2,215,0
1,0,240,0
2,0,235,0
3,0,230,0
0,4,210,0
1,4,205,0
2,4,200,0
3,3,210,0
3,4,195,0
4,2,205,0
2,3,190,0
1,5,185,0
2,5,180,0
3,5,175,0
4,3,190,0
4,4,180,0
5,2,195,0
5,3,185,0
4,5,170,0
5,4,165,0
6,3,170,0
5,5,160,0
6,4,155,0
7,3,160,0
6,5,150,0
7,4,145,0
5,6,150,0
6,6,145,0
7,5,140,0
8,4,145,0
6,7,130,1
7,7,125,1
8,6,130,1
8,7,120,1
9,6,125,1
9,7,115,1
10,6,120,1
10,7,110,1
7,8,120,1
8,8,115,1
9,8,110,1
10,8,105,1
11,7,105,1
11,8,100,1
12,7,100,1
12,8,95,1
8,9,105,1
9,9,100,1
10,9,95,1
11,9,90,1
12,9,85,1
13,8,90,1
13,9,85,1
14,8,80,1
14,9,75,1
9,10,90,1
10,10,85,1
11,10,80,1
12,10,75,1
13,10,70,1
14,10,65,1
15,9,70,1
15,10,65,1
16,9,60,1
16,10,55,1
12,11,70,1
13,11,65,1
14,11,60,1
15,11,55,1
16,11,50,1
17,10,50,1
17,11,45,1
18,10,40,1
18,11,35,1
15,12,45,1
16,12,40,1
17,12,35,1
18,12,30,1
19,11,30,1
19,12,25,1
20,12,20,1
